# number,coord_x,coord_y, evacuation,reward
0,497729.357,4229597.13,0,1
1,497673.639,4229756.146,0,1
2,497719.589,4229727.506,0,1
3,497623.276,4229660.96,0,1
4,497669.227,4229633.208,0,1
5,497940.646,4230147.195,0,1
6,497427.438,4229905.013,1,1
7,497821.294,4229666.452,0,1
8,497874.991,4230132.454,0,1
9,497920.941,4230109.253,0,1
10,497823.722,4230560.426,0,1
11,498089.483,4230259.89,0,1
12,498063.277,4230490.13,0,1
13,498020.602,4230295.967,0,1
14,498074.197,4230397.701,0,1
15,498123.374,4230327.454,0,1
16,498147.475,4230455.936,0,1
17,498055.544,4230362.532,0,1
18,498296.265,4230390.217,0,1
19,497973.515,4230320.944,0,1
20,498059.93,4230034.323,0,1
21,498226.207,4230242.327,0,1
22,498143.077,4230361.624,0,1
23,498124.531,4230412.446,0,1
24,498042.437,4230093.577,0,1
25,498680.218,4230067.596,0,1
26,497756.906,4230451.374,0,1
27,497647.526,4230270.214,0,1
28,497739.296,4229766.335,0,1
29,497573.962,4229564.776,0,1
30,497841.068,4229958.595,0,1
31,497883.641,4229738.557,0,1
32,497821.362,4229920.653,0,1
33,497538.054,4230088.056,0,1
34,497900.185,4230071.422,0,1
35,497757.798,4229562.948,0,1
36,497780.857,4229690.541,0,1
37,497719.519,4229476.967,0,1
38,497760.054,4229805.164,0,1
39,497691.124,4229674.81,0,1
40,497746.848,4229536.099,0,1
41,497800.518,4229881.824,0,1
42,497779.761,4229842.995,0,1
43,497944.949,4229854.047,0,1
44,497774.274,4229945.631,0,1
45,497719.743,4230587.306,0,1
46,497545.842,4230657.592,0,1
47,497639.923,4230614.07,0,1
48,497382.89,4230748.184,1,1
49,497474.782,4230705.658,0,1
50,498028.249,4230423.565,0,1
51,498505.165,4230170.15,0,1
52,498161.673,4230147.141,0,1
53,498009.615,4230110.229,0,1
54,498402.422,4230284.898,0,1
55,498054.473,4230278.428,0,1
56,498023.758,4229954.887,0,1
57,498094.871,4230093.565,0,1
58,498310.53,4230377.343,0,1
59,498206.504,4230209.045,0,1
60,498090.573,4230429.098,0,1
61,498253.621,4230315.331,0,1
62,498591.641,4230119.316,0,1
63,498414.41,4230266.366,0,1
64,498214.257,4230433.73,0,1
65,498159.54,4230393.021,0,1
66,498183.585,4230272.85,0,1
67,497975.676,4230210.986,0,1
68,498280.942,4230368.029,0,1
69,498074.231,4230542.832,0,1
70,498221.828,4230234.007,0,1
71,498147.462,4230399.57,0,1
72,498230.624,4230428.178,0,1
73,498089.503,4230344.993,0,1
74,498239.343,4230268.177,0,1
75,498387.107,4230303.32,0,1
76,498440.661,4230220.092,0,1
77,498072.04,4230528.075,0,1
78,498474.531,4230189.573,0,1
79,498022.732,4230054.748,0,1
80,498166.085,4230304.254,0,1
81,498147.401,4230134.163,0,1
82,498373.98,4230318.08,0,1
83,498093.958,4230681.522,0,1
84,498249.267,4230420.74,0,1
85,497858.534,4229801.365,0,1
86,497894.646,4229978.886,0,1
87,497387.169,4230443.163,0,1
88,497834.451,4229765.422,0,1
89,497791.913,4230431.06,0,1
90,497774.41,4230441.162,0,1
91,497934.057,4230052.883,0,1
92,497883.667,4229837.419,0,1
93,497914.352,4230015.94,0,1
94,497749.067,4229645.169,0,1
95,497611.454,4230539.182,0,1
96,497932.969,4229907.753,0,1
97,497873.89,4229940.056,0,1
98,497595.001,4230549.395,0,1
99,497908.888,4229873.474,0,1
100,497808.18,4229729.368,0,1
101,497423.368,4230870.223,0,1
102,497764.671,4230676.059,0,1
103,497665.076,4230724.131,0,1
104,497537.13,4230793.517,0,1
105,497515.188,4230597.463,0,1
106,497905.77,4230679.683,0,1
107,497546.937,4230807.383,0,1
108,497732.875,4230594.626,0,1
109,497828.101,4230569.634,0,1
110,497766.896,4230810.981,0,1
111,497348.908,4230683.507,0,1
112,498163.859,4230140.705,0,1
113,498539.139,4230229.394,0,1
114,497982.184,4229979.862,0,1
115,498546.715,4230009.367,0,1
116,498499.765,4230319.054,0,1
117,498706.511,4230265.426,0,1
118,498566.459,4230281.095,0,1
119,498251.373,4230038.939,0,1
120,498594.93,4230411.463,0,1
121,498543.532,4230316.272,0,1
122,498641.994,4230240.472,0,1
123,498476.762,4229950.129,0,1
124,498540.212,4229865.125,0,1
125,498481.085,4230126.77,0,1
126,498222.881,4229842.997,0,1
127,498466.962,4230432.79,0,1
128,498043.506,4230174.02,0,1
129,498203.234,4230065.801,0,1
130,498614.551,4229980.617,0,1
131,498071.988,4230309.824,0,1
132,498115.754,4230308.926,0,1
133,498452.692,4230420.699,0,1
134,498416.654,4230549.193,0,1
135,498364.061,4230180.385,0,1
136,498553.284,4230030.558,0,1
137,498233.885,4230127.708,0,1
138,498448.35,4230143.42,0,1
139,498508.506,4230251.591,0,1
140,498698.912,4230368.95,0,1
141,498346.509,4229959.475,0,1
142,498436.211,4229840.179,0,1
143,498501.925,4230163.715,0,1
144,498330.169,4230103.61,0,1
145,498564.205,4229909.503,0,1
146,498228.352,4230044.492,0,1
147,498747.059,4230395.794,0,1
