# age,gender,hhType,hhId,Node
19,0,1,177,1534
15,0,1,64,4152
22,1,1,150,1541
24,1,1,129,3152
26,0,1,28,3155
28,1,1,137,1542
28,1,1,2,1542
32,0,1,53,4025
33,1,1,105,1540
35,0,1,9,1538
36,0,1,181,3154
38,1,1,113,4153
42,0,1,1,1541
42,1,1,65,1534
49,0,1,208,1537
49,0,1,201,1543
45,0,1,89,3154
48,0,1,87,1534
48,1,1,76,2960
48,1,1,189,3999
52,0,1,184,4164
52,0,1,156,1540
51,1,1,148,1541
51,1,1,41,1536
57,0,1,126,1536
56,0,1,83,4152
56,0,1,179,4164
57,1,1,207,1561
55,1,1,155,4153
60,0,1,14,1548
63,0,1,112,4158
62,0,1,86,4173
64,0,1,172,1536
62,0,1,210,1543
63,1,1,123,4025
60,1,1,34,4154
69,0,1,70,1561
67,0,1,35,1543
65,0,1,127,4164
65,1,1,174,3153
66,1,1,168,1538
70,0,1,211,4152
73,0,1,209,4164
72,0,1,169,3154
74,1,1,204,1542
70,1,1,29,4163
74,1,1,20,1534
71,1,1,96,4152
72,1,1,57,4155
70,1,1,27,3155
77,0,1,73,3016
75,1,1,7,3999
76,1,1,80,3154
79,1,1,125,4153
77,1,1,128,4155
75,1,1,198,4176
84,0,1,8,4025
84,1,1,140,1542
80,1,1,180,4173
81,1,1,0,1534
85,0,1,92,4175
89,1,1,66,4175
85,1,1,40,1537
86,1,1,50,4174
88,1,1,178,1542
2,0,2,322,4158
4,0,2,393,1549
4,0,2,298,3014
0,0,2,224,4164
2,1,2,232,4158
2,1,2,223,3154
1,1,2,264,1537
9,0,2,222,1535
6,0,2,377,1543
8,0,2,229,4158
9,0,2,294,4174
9,1,2,279,1538
8,1,2,294,4174
8,1,2,357,4174
11,0,2,224,4164
11,0,2,334,1546
14,1,2,269,3999
14,1,2,365,1561
10,1,2,329,1548
18,0,2,367,1544
19,0,2,338,3154
17,0,2,263,4026
19,0,2,247,4152
15,1,2,292,4025
15,1,2,251,3014
15,1,2,344,1549
23,0,2,266,3016
24,0,2,371,4175
22,1,2,297,1541
29,0,2,322,4158
28,0,2,221,4164
29,1,2,298,3014
25,1,2,255,4176
26,1,2,358,1541
34,0,2,308,4174
30,0,2,234,4154
32,1,2,275,1535
30,1,2,336,1534
37,0,2,250,4054
35,0,2,358,1541
37,0,2,234,4154
37,1,2,402,1534
42,0,2,228,4162
43,0,2,336,1534
41,0,2,255,4176
40,1,2,341,3154
44,1,2,308,4174
48,0,2,267,1541
48,0,2,344,1549
48,0,2,367,1544
49,0,2,231,1538
45,1,2,402,1534
48,1,2,335,3016
49,1,2,323,1534
50,0,2,248,1537
52,0,2,326,3014
51,0,2,225,4025
53,0,2,329,1548
50,0,2,228,4162
51,0,2,231,1538
52,1,2,223,3154
53,1,2,330,4163
54,1,2,373,4164
58,0,2,221,4164
58,0,2,229,4158
58,0,2,373,4164
59,0,2,232,4158
59,0,2,297,1541
59,0,2,334,1546
55,1,2,320,1543
61,0,2,241,4154
64,0,2,383,4163
62,1,2,269,3999
61,1,2,263,4026
63,1,2,371,4175
64,1,2,375,1548
61,1,2,320,1543
69,0,2,267,1541
66,0,2,377,1543
66,1,2,326,3014
65,1,2,225,4025
68,1,2,335,3016
66,1,2,241,4154
67,1,2,404,1538
67,1,2,275,1535
73,0,2,394,4154
74,0,2,330,4163
73,1,2,276,4154
71,1,2,279,1538
71,1,2,248,1537
74,1,2,341,3154
71,1,2,222,1535
74,1,2,393,1549
76,0,2,276,4154
79,0,2,247,4152
77,0,2,365,1561
77,1,2,295,3999
77,1,2,250,4054
75,1,2,323,1534
75,1,2,246,4025
79,1,2,292,4025
82,0,2,264,1537
84,1,2,383,4163
83,1,2,375,1548
83,1,2,394,4154
82,1,2,266,3016
80,1,2,246,4025
84,1,2,338,3154
81,1,2,357,4174
82,1,2,295,3999
83,1,2,404,1538
87,1,2,251,3014
87,1,2,0,1534
0,1,3,480,4175
2,1,3,464,1561
8,0,3,447,1537
7,0,3,495,1537
9,0,3,471,3999
7,1,3,442,4152
10,0,3,451,4163
10,0,3,425,4176
12,0,3,408,1545
14,0,3,456,1538
11,1,3,463,4175
10,1,3,470,1543
14,1,3,408,1545
11,1,3,454,4162
13,1,3,465,1531
17,0,3,457,1536
15,0,3,478,4158
19,1,3,438,1561
18,1,3,419,1537
17,1,3,480,4175
20,0,3,447,1537
22,1,3,429,1534
21,1,3,485,3014
20,1,3,495,1537
21,1,3,412,4174
23,1,3,468,1537
21,1,3,417,1543
20,1,3,442,4152
27,0,3,471,3999
27,0,3,468,1537
27,0,3,451,4163
25,1,3,456,1538
25,1,3,464,1561
34,0,3,473,1536
33,1,3,470,1543
35,0,3,412,4174
38,0,3,457,1536
36,0,3,478,4158
38,0,3,442,4152
39,1,3,483,4153
38,1,3,429,1534
40,0,3,495,1537
43,1,3,456,1538
41,1,3,454,4162
49,0,3,473,1536
46,1,3,464,1561
54,0,3,483,4153
50,0,3,425,4176
54,0,3,473,1536
