#number,node1,node2,length, width
0,0,1,9,3
1,0,2,361,3
2,3,0,31,3
3,4,0,31,3
4,3,5,70,3
5,6,3,8,3
6,7,8,16,3
7,9,8,46,3
8,8,10,175,3
9,11,8,103,3
10,12,13,30,3
11,13,14,76,3
12,15,16,74,3
13,17,15,71,3
14,18,15,51,3
15,19,20,15,3
16,21,20,51,3
17,20,22,173,3
18,23,20,103,3
19,24,25,19,3
20,26,25,54,3
21,25,27,179,3
22,28,25,158,3
23,29,18,15,3
24,29,30,66,3
25,31,29,16,3
26,14,29,79,3
27,32,33,12,3
28,34,32,43,3
29,35,32,16,3
30,36,32,8,3
31,37,31,151,3
32,38,31,16,3
33,39,40,26,3
34,39,41,53,3
35,24,39,155,3
36,42,43,51,3
37,44,42,15,3
38,45,42,55,3
39,30,42,92,3
40,46,47,16,3
41,47,48,101,3
42,49,47,38,3
43,50,47,68,3
44,51,52,53,3
45,53,52,53,3
46,54,55,112,3
47,56,55,150,3
48,57,55,44,3
49,58,55,25,3
50,54,59,9,3
51,59,60,59,3
52,61,59,22,3
53,62,63,10,3
54,62,64,54,3
55,65,62,17,3
56,66,62,106,3
57,67,7,78,3
58,7,68,108,3
59,69,7,178,3
60,70,71,169,3
61,72,70,48,3
62,65,73,53,3
63,74,65,10,3
64,75,65,53,3
65,76,14,69,3
66,77,19,170,3
67,19,78,125,3
68,41,19,173,3
69,79,80,19,3
70,80,81,38,3
71,82,83,6,3
72,83,79,52,3
73,84,83,76,3
74,85,84,56,3
75,86,85,7,3
76,87,85,42,3
77,1,6,31,3
78,88,6,70,3
79,1,89,70,3
80,90,1,360,3
81,91,92,50,3
82,93,92,74,3
83,94,92,31,3
84,95,92,53,3
85,96,51,114,3
86,53,51,45,3
87,91,97,52,3
88,98,97,148,3
89,99,97,67,3
90,100,101,16,3
91,57,101,34,3
92,102,101,95,3
93,103,101,144,3
94,104,105,27,3
95,106,105,105,3
96,107,105,44,3
97,108,109,55,3
98,110,109,52,3
99,111,109,41,3
100,111,112,29,3
101,113,112,50,3
102,114,112,114,3
103,45,115,25,3
104,116,115,90,3
105,117,115,45,3
106,118,115,50,3
107,30,119,57,3
108,120,12,64,3
109,121,12,94,3
110,122,116,33,3
111,123,116,48,3
112,124,116,45,3
113,125,126,41,3
114,127,126,42,3
115,128,126,92,3
116,76,120,92,3
117,117,76,44,3
118,119,76,23,3
119,129,96,115,3
120,130,96,49,3
121,131,132,43,3
122,132,133,225,3
123,134,132,97,3
124,135,132,111,3
125,136,132,68,3
126,137,138,33,3
127,138,139,274,3
128,140,138,66,3
129,141,142,16,3
130,141,143,142,3
131,144,141,10,3
132,145,141,93,3
133,142,72,10,3
134,142,146,69,3
135,147,142,148,3
136,148,149,14,3
137,149,150,125,3
138,127,149,48,3
139,151,149,38,3
140,152,153,21,3
141,153,154,138,3
142,155,153,54,3
143,156,153,108,3
144,152,157,106,3
145,158,152,215,3
146,139,152,140,3
147,159,160,156,3
148,161,160,184,3
149,162,163,48,3
150,164,163,56,3
151,165,163,177,3
152,166,163,161,3
153,167,168,9,3
154,169,168,67,3
155,168,170,62,3
156,171,168,252,3
157,172,173,165,3
158,174,173,158,3
159,175,173,91,3
160,176,173,54,3
161,177,178,64,3
162,179,177,22,3
163,180,177,122,3
164,181,182,47,3
165,180,181,33,3
166,183,184,54,3
167,185,184,15,3
168,184,186,51,3
169,187,184,107,3
170,188,37,56,3
171,189,37,14,3
172,186,37,89,3
173,190,71,174,3
174,191,71,12,3
175,192,144,129,3
176,193,192,27,3
177,194,192,83,3
178,195,196,57,3
179,197,198,49,3
180,110,198,15,3
181,198,199,57,3
182,200,198,71,3
183,87,201,27,3
184,201,202,37,3
185,203,201,193,3
186,204,201,41,3
187,205,87,100,3
188,5,87,58,3
189,206,84,6,3
