# number,coord_x,coord_y,evacuation,reward
0,367727.430000,3713897.050000,0,1
1,367727.690000,3713892.310000,0,1
2,367707.740000,3713891.110000,0,1
3,367533.100000,3713881.510000,0,1
4,367479.390000,3713878.170000,0,1
5,367434.560000,3713876.260000,0,1
6,367394.460000,3713873.630000,0,1
7,367383.450000,3713873.050000,0,1
8,367367.070000,3713872.270000,0,1
9,367367.090000,3713876.570000,0,1
10,367367.110000,3713880.860000,0,1
11,367383.420000,3713881.580000,0,1
12,367639.140000,3713897.260000,0,1
13,367702.360000,3713900.300000,0,1
14,367706.930000,3713900.510000,0,1
15,367727.180000,3713901.790000,0,1
16,367727.180000,3713901.790000,0,1
17,367757.510000,3713903.850000,0,1
18,367757.680000,3713899.160000,0,1
19,367757.860000,3713894.470000,0,1
20,367727.690000,3713892.310000,0,1
21,367727.180000,3713901.790000,0,1
22,367726.650000,3713911.890000,0,1
23,367723.550000,3713973.510000,0,1
24,367724.740000,3713852.100000,0,1
25,367729.120000,3713860.740000,0,1
26,367728.440000,3713876.670000,0,1
27,367728.260000,3713881.800000,0,1
28,367727.690000,3713892.310000,0,1
29,367367.070000,3713872.270000,0,1
30,367352.710000,3713872.330000,0,1
31,367334.170000,3713872.840000,0,1
32,367314.850000,3713874.430000,0,1
33,367295.550000,3713877.000000,0,1
34,367276.120000,3713880.310000,0,1
35,367276.130000,3713875.580000,0,1
36,367368.590000,3713836.900000,0,1
37,367368.120000,3713849.860000,0,1
38,367367.440000,3713863.550000,0,1
39,367367.070000,3713872.270000,0,1
40,367366.450000,3713927.430000,0,1
41,367366.870000,3713890.720000,0,1
42,367367.110000,3713880.860000,0,1
43,367177.940000,3713913.780000,0,1
44,367177.600000,3713918.460000,0,1
45,367218.710000,3713903.670000,0,1
46,367239.320000,3713897.470000,0,1
47,367258.630000,3713892.950000,0,1
48,367276.350000,3713888.990000,0,1
49,367296.380000,3713885.640000,0,1
50,367315.330000,3713883.110000,0,1
51,367333.800000,3713881.570000,0,1
52,367352.490000,3713880.900000,0,1
53,367367.110000,3713880.860000,0,1
54,370510.730000,3714798.050000,0,1
55,370437.750000,3714775.090000,0,1
56,370388.040000,3714754.300000,0,1
57,370327.660000,3714724.230000,0,1
58,370523.270000,3714700.360000,0,1
59,370513.640000,3714749.260000,0,1
60,370512.620000,3714759.730000,0,1
