id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
0,361080.87,3714135.37,1534,351,360861.99,3714060.58,4089
1,361305.89,3714515.94,4152,171,361493.99,3714247.56,2960
2,361325.22,3714227.09,1541,1411,361493.99,3714247.56,2960
3,361268.29,3714237.86,3152,624,361493.99,3714247.56,2960
4,361266.25,3714266.97,3155,1066,361493.99,3714247.56,2960
5,361306.78,3714243.18,1542,1206,361493.99,3714247.56,2960
6,361306.78,3714243.18,1542,647,361493.99,3714247.56,2960
7,361292.41,3714552.76,4025,1766,361270.166036,3714586.520055,4025
8,361345.35,3714240.57,1540,795,361493.99,3714247.56,2960
9,361226.12,3714166.09,1538,728,360861.99,3714060.58,4089
10,361274.49,3714242.3,3154,453,361493.99,3714247.56,2960
11,361307.43,3714387.24,4153,457,361493.99,3714247.56,2960
12,361325.22,3714227.09,1541,743,361493.99,3714247.56,2960
13,361080.87,3714135.37,1534,791,360861.99,3714060.58,4089
14,361129.71,3714240.37,1537,426,360861.99,3714060.58,4089
15,361151.8,3714289.36,1543,1049,360861.99,3714060.58,4089
16,361274.49,3714242.3,3154,422,361493.99,3714247.56,2960
17,361080.87,3714135.37,1534,746,360861.99,3714060.58,4089
18,361493.99,3714247.56,2960,551,361493.99,3714247.56,2960
19,361280.55,3714222.25,3999,205,361493.99,3714247.56,2960
20,361098.06,3714310.58,4164,337,360861.99,3714060.58,4089
21,361345.35,3714240.57,1540,794,361493.99,3714247.56,2960
22,361325.22,3714227.09,1541,1054,361493.99,3714247.56,2960
23,361146.72,3714142.67,1536,1032,360861.99,3714060.58,4089
24,361146.72,3714142.67,1536,34,360861.99,3714060.58,4089
25,361305.89,3714515.94,4152,899,361493.99,3714247.56,2960
26,361098.06,3714310.58,4164,840,360861.99,3714060.58,4089
27,361005.66,3714393.09,1561,1003,360922.255954,3714042.607891,1693
28,361307.43,3714387.24,4153,822,361493.99,3714247.56,2960
29,360953.44,3714308.75,1548,274,360861.99,3714060.58,4089
30,360957.93,3714373.82,4158,1821,360957.93,3714373.82,4158
31,361276.13,3714176.56,4173,1263,361493.99,3714247.56,2960
32,361146.72,3714142.67,1536,1616,360989.798541,3714015.857244,1533
33,361151.8,3714289.36,1543,439,361493.99,3714247.56,2960
34,361292.41,3714552.76,4025,387,361493.99,3714247.56,2960
35,361260.41,3714337.82,4154,674,361493.99,3714247.56,2960
