BldCode,CenterX,CenterY,Height,Area
1,359755.19,3713143.26,60,82.71
2,359780.70,3713121.93,60,358.65
3,359772.49,3713147.64,60,70.54
4,359783.50,3713149.09,60,62.10
5,359773.74,3713161.78,60,174.99
6,359776.61,3713171.72,60,77.19
7,359769.30,3713185.32,60,138.72
8,359766.17,3713171.09,60,33.76
9,359754.95,3713159.62,60,82.65
10,359754.32,3713177.03,60,187.34
11,359751.46,3713203.11,60,127.11
12,359748.73,3713214.63,60,76.76
13,359766.50,3713209.03,60,148.51
14,359794.73,3713192.48,60,121.37
15,359784.25,3713172.16,60,30.54
16,359797.70,3713152.35,60,32.09
17,359802.74,3713163.65,60,98.30
18,359802.33,3713173.16,60,23.33
19,359816.88,3713163.39,60,94.57
20,359813.40,3713179.31,60,71.14
21,359811.35,3713195.27,60,24.07
22,359811.84,3713188.46,60,37.09
23,359806.28,3713188.15,60,11.39
24,359809.26,3713203.70,60,38.39
25,359801.08,3713210.17,60,13.24
26,359806.07,3713214.42,60,60.08
27,359827.64,3713206.06,90,350.12
28,359833.96,3713212.83,60,281.92
29,359807.16,3713223.77,60,6.73
30,359800.44,3713232.76,60,100.90
31,359774.24,3713224.67,60,50.67
32,359761.91,3713230.72,60,147.95
33,359753.34,3713232.53,60,23.22
34,359751.35,3713225.12,60,26.06
35,359743.31,3713227.63,60,44.53
36,359744.08,3713236.15,60,68.61
37,360237.18,3713080.05,60,115.39
38,360103.23,3712991.97,60,30.65
39,360118.19,3712991.34,60,91.84
40,360130.12,3712998.54,60,73.04
41,360126.52,3713013.67,60,26.54
42,360108.59,3713012.37,60,85.88
43,360118.27,3713014.61,60,79.45
44,360108.53,3713045.67,60,123.45
45,360103.86,3713060.86,60,148.73
46,360139.39,3713055.01,60,142.18
47,360155.24,3713064.37,60,46.11
48,360161.07,3713068.40,60,29.94
49,360183.54,3713054.72,60,50.47
50,360192.05,3713048.58,60,38.08
51,360196.59,3713076.10,150,511.73
52,360177.58,3713088.13,60,34.71
53,360165.89,3713074.99,60,53.04
54,360174.05,3713103.33,150,475.04
55,360164.88,3713091.71,60,7.02
56,360169.54,3713131.11,60,15.89
57,360160.92,3713132.57,60,67.89
58,360154.00,3713130.10,60,74.54
59,360161.49,3713106.92,60,12.08
60,360152.76,3713074.82,60,55.55
61,360126.41,3713088.14,60,367.58
62,360105.54,3713079.05,60,56.72
63,360127.07,3713122.95,60,9.63
64,360135.02,3713114.34,60,113.83
65,360144.30,3713144.12,60,53.43
66,360147.94,3713127.04,60,51.58
67,360157.02,3713141.17,60,19.64
68,360152.32,3713147.39,60,39.74
69,360146.51,3713160.97,60,65.74
70,360137.57,3713156.17,60,56.48
71,360140.51,3713179.62,60,67.88
72,360130.59,3713176.20,60,91.83
73,360117.21,3713155.90,60,92.31
74,360111.73,3713169.49,60,56.00
75,360119.53,3713172.88,60,74.85
76,360105.72,3713207.06,60,88.00
77,360136.60,3713194.74,60,92.00
78,360121.38,3713202.38,60,62.03
79,360125.19,3713189.50,60,68.36
80,360154.23,3713185.36,60,69.77
81,360160.29,3713149.92,60,61.59
82,360164.50,3713177.01,60,106.36
83,360174.61,3713165.38,60,226.24
84,360199.81,3713140.05,60,79.86
85,360192.98,3713154.75,60,54.69
86,360187.59,3713148.51,60,58.92
87,360182.12,3713137.89,60,90.42
88,360170.28,3713150.53,60,50.08
89,360167.69,3713139.25,60,66.39
90,360194.96,3713122.72,60,121.27
91,360208.71,3713131.08,60,20.91
92,360209.68,3713109.20,60,148.66
93,360223.72,3713095.59,60,231.50
94,360244.43,3713097.21,60,69.80
95,360237.06,3713110.20,60,234.55
96,359879.57,3713191.93,60,120.18
97,359904.79,3713186.91,60,96.76
98,359892.02,3713184.61,60,152.05
99,359920.56,3713173.26,60,187.94
100,359925.32,3713173.97,60,29.97
101,359933.79,3713182.18,60,319.92
102,359955.72,3713200.97,90,129.10
103,359974.97,3713203.87,120,129.73
104,359977.08,3713192.98,60,68.40
105,359956.10,3713191.85,60,60.34
106,359961.28,3713183.24,60,68.71
107,359971.97,3713170.01,60,113.55
108,359979.39,3713159.78,60,83.23
109,359972.78,3713156.74,60,30.40
110,359947.73,3713157.84,60,311.79
111,359944.92,3713170.27,60,21.68
112,359927.52,3713150.57,60,115.05
113,359940.02,3713141.83,60,9.03
114,359944.01,3713143.01,60,7.35
115,359977.46,3713127.85,60,2.90
116,359961.44,3713113.79,90,407.31
117,359969.50,3713092.95,60,76.21
118,359980.79,3713122.18,60,14.37
119,359991.92,3713133.38,60,102.85
120,359999.76,3713144.35,60,24.88
121,360002.27,3713122.92,60,272.54
122,360023.94,3713134.62,60,184.60
123,360017.04,3713165.16,60,145.52
124,360006.79,3713159.36,60,56.23
125,359996.17,3713152.39,60,66.92
126,359985.01,3713145.63,60,90.52
127,359991.23,3713165.38,60,108.92
128,359986.27,3713178.82,60,57.17
129,360000.19,3713184.15,60,202.93
130,359985.26,3713185.88,60,16.07
131,360059.54,3713204.90,60,91.79
132,360068.21,3713213.28,60,46.80
133,360071.18,3713207.35,60,5.87
134,360068.39,3713199.02,60,7.94
135,360063.17,3713190.07,60,97.71
136,360084.34,3713185.99,90,202.46
137,360091.03,3713198.16,60,9.68
138,360045.36,3713145.74,60,80.93
139,360036.62,3713102.02,60,99.19
140,360027.61,3713117.58,60,95.40
141,360017.76,3713115.91,60,7.94
142,360029.38,3713106.29,60,23.76
143,360031.82,3713080.13,60,117.62
144,360011.53,3713098.57,60,36.67
145,360004.66,3713104.54,60,36.58
146,360021.57,3713056.14,60,27.24
147,360095.73,3713042.89,60,30.02
148,360097.26,3713006.62,60,47.31
149,360082.31,3713004.82,60,213.16
150,360064.93,3713016.49,60,73.27
151,360051.19,3713011.52,60,204.21
152,360074.85,3712979.63,60,143.09
153,360084.63,3712985.39,60,7.38
154,360092.78,3712978.51,60,89.29
155,360058.23,3712945.17,90,116.28
156,360050.91,3712943.50,60,80.86
157,360034.90,3712942.32,90,140.07
158,360049.08,3712973.98,60,181.74
159,360029.16,3712991.74,60,100.27
160,360037.50,3712981.22,90,131.18
161,360017.17,3712972.02,60,117.40
162,360038.57,3712955.68,60,114.65
163,360027.60,3712951.74,60,74.76
164,360007.84,3712963.97,60,98.10
165,359981.04,3712953.01,60,14.81
166,359978.75,3712961.96,60,30.78
167,359985.92,3712956.99,60,35.44
168,359993.48,3712954.84,60,14.51
169,359992.72,3712964.91,60,89.74
170,359986.73,3712977.09,60,89.61
171,359981.13,3712987.62,60,141.43
172,360003.70,3713000.61,60,11.85
173,360008.19,3713012.97,60,79.29
174,360018.18,3713018.57,60,52.09
175,360014.04,3713026.01,60,62.18
176,360008.09,3712992.96,120,260.59
177,359990.22,3713029.85,60,11.67
178,359996.17,3713024.81,90,204.35
179,359964.49,3713028.58,60,74.68
180,359963.85,3713017.71,60,266.44
181,359941.46,3713016.26,60,33.48
182,359935.79,3713006.45,60,30.87
183,359924.14,3713009.88,90,84.81
184,359936.87,3713000.13,60,27.85
185,359947.80,3712976.05,60,71.30
186,359964.67,3712979.11,60,99.68
187,359961.40,3712968.09,60,28.97
188,359949.76,3712945.50,60,103.44
189,359949.34,3712954.67,60,63.50
190,359948.06,3712965.49,60,135.36
191,359933.82,3712945.37,60,65.19
192,359920.76,3712950.67,60,172.95
193,359928.96,3712952.49,60,17.83
194,359929.52,3712969.08,60,50.95
195,359914.32,3712970.49,60,156.87
196,359914.35,3712992.41,60,54.69
197,359904.21,3712950.75,60,205.31
198,359887.50,3712954.82,60,253.42
199,359879.96,3712939.34,60,90.67
200,359856.45,3712946.48,60,104.76
201,359852.40,3712955.01,60,54.20
202,359860.84,3712962.44,60,10.51
203,359873.33,3712954.33,60,130.28
204,359870.85,3712964.01,60,91.28
205,359891.74,3712986.70,60,63.40
206,359893.29,3713000.50,60,81.92
207,359900.54,3712989.09,60,84.73
208,359910.25,3713000.07,60,19.29
209,359894.05,3713009.97,60,77.02
210,359906.74,3713073.31,60,73.52
211,359908.55,3713024.72,60,33.95
212,359910.99,3713011.65,90,115.33
213,359924.05,3713028.78,60,12.36
214,359930.72,3713032.24,60,7.98
215,359927.25,3713020.26,60,170.75
216,359947.78,3713029.43,60,161.14
217,359932.74,3713037.86,60,2.00
218,359943.88,3713062.37,60,113.44
219,359951.81,3713084.43,60,114.00
220,359962.11,3713088.05,60,77.01
221,359940.08,3713082.82,60,64.55
222,359921.22,3713079.09,60,180.88
223,359893.04,3713089.56,60,91.60
224,359904.38,3713171.25,60,223.09
