# ID,HH_type,SubMeshCode, building_code
0,1,369,38
1,1,369,34
2,1,369,46
3,1,369,90
4,1,369,134
5,1,369,122
6,1,369,111
7,1,369,58
8,1,369,43
9,1,369,104
10,1,369,14
11,1,369,32
12,1,369,19
13,1,369,7
14,1,369,113
15,1,369,8
16,1,369,129
17,1,369,91
18,1,369,25
19,2,369,31
20,2,369,132
21,2,369,56
22,2,369,116
23,2,369,29
24,2,369,82
25,2,369,92
26,2,369,5
27,2,369,125
28,2,369,112
29,2,369,50
30,2,369,64
31,2,369,95
32,2,369,150
33,2,369,6
34,2,369,35
35,2,369,59
36,2,369,54
37,2,369,27
38,2,369,47
39,2,369,148
40,2,369,105
41,2,369,141
42,2,369,75
43,2,369,89
44,3,369,133
45,3,369,135
46,3,369,97
47,3,369,121
48,3,369,28
49,3,369,74
50,3,369,26
51,3,369,40
52,3,369,52
53,3,369,30
54,3,369,39
55,3,369,84
56,3,369,85
57,3,369,20
58,3,369,11
59,3,369,103
60,3,369,136
61,3,369,63
62,3,369,1
63,3,369,146
64,3,369,80
65,3,369,33
66,3,369,143
67,3,369,77
68,3,369,93
69,3,369,79
70,3,369,60
71,4,369,49
72,4,369,106
73,4,369,36
74,4,369,9
75,4,369,107
76,4,369,44
77,4,369,23
78,4,369,120
79,4,369,149
80,4,369,96
81,4,369,124
82,4,369,94
83,4,369,72
84,4,369,12
85,4,369,3
86,4,369,101
87,5,369,51
88,5,369,37
89,5,369,65
90,5,369,127
91,5,369,98
92,5,369,83
93,5,369,10
94,6,369,118
95,6,369,119
96,6,369,57
97,7,369,142
98,7,369,145
99,7,369,16
