# ID,Age,Gender,HHtype,HH_ID
0,18,0,1,143
1,16,0,1,296
2,15,0,1,53
3,18,0,1,284
4,15,0,1,257
5,15,1,1,71
6,15,1,1,189
7,18,1,1,293
8,19,1,1,148
9,17,1,1,102
10,22,0,1,273
11,20,0,1,67
12,22,0,1,239
13,24,0,1,130
14,24,0,1,153
15,24,0,1,109
16,21,1,1,137
17,21,1,1,127
18,23,1,1,258
19,21,1,1,66
20,20,1,1,19
21,22,1,1,59
22,20,1,1,185
23,21,1,1,198
24,24,1,1,158
25,28,0,1,124
26,27,0,1,46
27,28,0,1,260
28,25,0,1,274
29,25,0,1,285
30,27,0,1,122
31,26,0,1,15
32,25,0,1,192
33,25,0,1,65
34,29,0,1,129
35,29,0,1,271
36,25,1,1,181
37,26,1,1,254
38,29,1,1,133
39,25,1,1,255
40,29,1,1,316
41,26,1,1,11
42,29,1,1,204
43,34,0,1,131
44,34,0,1,106
45,33,0,1,259
46,32,0,1,105
47,32,0,1,113
48,32,0,1,7
49,30,0,1,219
50,34,0,1,128
51,30,0,1,141
52,30,0,1,6
53,32,0,1,2
54,31,1,1,207
55,30,1,1,241
56,30,1,1,114
57,34,1,1,60
58,31,1,1,228
59,30,1,1,147
60,36,0,1,43
61,38,0,1,57
62,39,0,1,98
63,39,0,1,162
64,35,0,1,217
65,39,0,1,4
66,39,0,1,39
67,38,0,1,36
68,37,0,1,297
69,35,0,1,275
70,35,0,1,154
71,38,0,1,54
72,38,0,1,242
73,36,0,1,187
74,35,0,1,211
75,36,0,1,288
76,35,0,1,309
77,35,0,1,291
78,39,0,1,151
79,35,0,1,246
80,39,0,1,1
81,35,0,1,286
82,37,1,1,313
83,35,1,1,85
84,36,1,1,155
85,38,1,1,209
86,38,1,1,280
87,37,1,1,103
88,36,1,1,90
89,42,0,1,92
90,43,0,1,174
91,42,0,1,240
92,44,0,1,308
93,40,0,1,73
94,43,0,1,178
95,42,0,1,201
96,41,0,1,272
97,44,0,1,94
98,43,0,1,76
99,40,0,1,214
100,42,0,1,230
101,40,0,1,18
102,42,0,1,89
103,40,0,1,205
104,42,0,1,281
105,43,0,1,300
106,43,0,1,227
107,44,0,1,264
108,43,0,1,200
109,44,0,1,123
110,43,0,1,186
111,40,0,1,160
112,41,0,1,247
113,43,0,1,26
114,40,0,1,262
115,44,0,1,49
116,43,1,1,256
117,41,1,1,218
118,44,1,1,243
119,42,1,1,93
120,44,1,1,287
121,44,1,1,184
122,40,1,1,157
123,41,1,1,145
124,42,1,1,234
125,45,0,1,79
126,45,0,1,176
127,45,0,1,203
128,49,0,1,169
129,47,0,1,72
130,47,0,1,278
131,47,0,1,182
132,49,0,1,91
133,45,0,1,40
134,46,0,1,42
135,46,0,1,22
136,46,0,1,202
137,49,0,1,52
138,47,0,1,312
139,45,0,1,138
140,45,0,1,41
141,45,0,1,197
142,49,0,1,263
143,49,0,1,10
144,47,0,1,244
145,49,1,1,58
146,48,1,1,310
147,45,1,1,28
148,48,1,1,75
149,48,1,1,163
150,46,1,1,97
151,54,0,1,306
152,52,0,1,132
153,54,0,1,150
154,53,0,1,232
155,51,0,1,290
156,53,0,1,35
157,51,0,1,172
158,54,0,1,14
159,51,0,1,265
160,51,0,1,24
161,51,0,1,80
162,53,0,1,208
163,54,0,1,61
164,54,1,1,12
165,50,1,1,236
166,54,1,1,99
167,52,1,1,166
168,53,1,1,88
169,56,0,1,64
170,56,0,1,110
171,55,0,1,51
172,56,0,1,303
173,56,0,1,314
174,58,0,1,0
175,59,0,1,5
176,57,0,1,156
177,55,0,1,69
178,57,0,1,112
179,56,0,1,193
180,56,0,1,136
181,57,0,1,292
182,55,0,1,95
183,59,0,1,62
184,57,0,1,125
185,57,0,1,55
186,55,1,1,126
187,55,1,1,30
188,57,1,1,301
189,58,1,1,44
190,56,1,1,159
