X,Y,KYOTEN_ID,DAIHYO_ID,MEISHO,KANA,SITEI_CODE,PREF_NAME,CITY_NAME,PNT_CODE,JYUSHO,TEL,HNJ_SITEI,HNJ_FUKUSI,HNJ_ELSE,HNB_KINKYU,HNB_KOIKI,HNB_TUNAMI,HNB_ELSE,KYUSUI_PNT,KOSHO,SAIGAI,JISHIN,KASAI,HUSUI,TUNAMI,TAKASIO,DOSHA,SONOTA,ELSE_TXT,HIGH,MENSEKI,NINZU_HNJ,NINZU_HNB,IRYO,KYUSUI,UPDATE,Id
364510.473484884,3713525.70979894,"3900017","3900017",???]???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???????????????Q?|?Q?O,088-832-6636,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,1.7000000000,"0","0","0","9","9",2018/04/01,"0"
360605.380104368,3714777.18410275,"3900019","3900019",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????Q?S?Q?|?P?Q,088-840-2811,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,42.5000000000,"0","0","0","9","9",2018/04/01,"0"
367553.103352262,3713763.65532762,"3900027","3900027",???????N?????Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s?????S?????R?|?R,088-882-9380,"1","1","0","1","0","0","0","0",?w?????????^?w?????}?????????^??????????,"1","1","9","1","0","9","9","9",,0.6000000000,"0","0","0","9","9",2018/04/01,"0"
361270.168496942,3713402.0123854,"3900030","3900030",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???????????X?|?P,088-844-0105,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,7.2000000000,"0","0","0","9","9",2018/04/01,"0"
363812.38991501,3714741.73603276,"3900032","3900032",???m???????????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???m?????????Q?|?S?O,088-873-4291,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.4000000000,"0","0","0","9","9",2018/04/01,"0"
365130.058268221,3714113.27735121,"3900035","3900035",?????v???U?u???????[???v,,"39201",???m??,???m?s,"39201",???m?????m?s?????c?Q?|?P,088-883-5011,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,2.0000000000,"0","0","0","9","9",2018/04/01,"0"
365742.729411306,3715129.19742139,"3900042","3900042",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?]?z???P?|?Q?O,088-883-7188,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,0.7000000000,"0","0","0","9","9",2018/04/01,"0"
365591.325639083,3715065.16950938,"3900043","3900043",?]?z???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?]?z???P?|?R?O,088-882-9141,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","0","9","9","9",,0.9000000000,"0","0","0","9","9",2018/04/01,"0"
362449.407782858,3714458.87990263,"3900049","3900049",???????s??????,,"39201",???m??,???m?s,"39201",???m?????m?s?R?m?[???R?Q?|?T,088-873-2093,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,11.7000000000,"0","0","0","9","9",2018/04/01,"0"
363409.209175128,3713887.06347432,"3900059","3900059",???Z???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???`?X?|?S,088-822-1231,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","0","9","9","9",,2.8000000000,"0","0","0","9","9",2018/04/01,"0"
363016.103298003,3714154.1777334,"3900062","3900062",???l???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???????????P?|?P?P,088-872-6486,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,3.3000000000,"0","0","0","9","9",2018/04/01,"0"
363171.139493578,3714775.76116658,"3900063","3900063",???m?????????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???k???P?|?P?S,088-822-5270,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.7000000000,"0","0","0","9","9",2018/04/01,"0"
361420.603120238,3713940.88957667,"3900004","3900004",???????j???????Q???Z???^?[?u?\?[???v,,"39201",???m??,???m?s,"39201",???m?????m?s?????O?????P?P?T,088-873-9100,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,6.6000000000,"0","0","0","9","9",2018/04/01,"0"
361473.466491245,3713948.90841016,"3900005","3900005",????????,,"39201",???m??,???m?s,"39201",???m?????m?s?????O?????P?Q?P,088-872-0374,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,6.4000000000,"0","0","0","9","9",2018/04/01,"0"
363054.150322414,3714871.69734315,"3900064","3900064",?????????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?V???~???????P?P?|?T,088-823-4418,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,2.8000000000,"0","0","0","9","9",2018/04/01,"0"
364306.664774129,3715303.01055398,"3900065","3900065",?]?m?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?V?{?????????W?|?P?Q,088-875-8215,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,1.5000000000,"0","0","0","9","9",2018/04/01,"0"
364059.384183928,3715467.35998541,"3900073","3900073",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?|?T?S,088-822-5295,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,1.6000000000,"0","0","0","9","9",2018/04/01,"0"
