# number,coord_x,coord_y, evacuation, reward
0,367727.690000,3713892.680000,0,1
1,367727.440000,3713901.780000,0,1
2,367367.070000,3713872.280000,0,1
3,367759.240000,3713895.070000,0,1
4,367729.120000,3713860.740000,0,1
5,367760.500000,3713824.320000,0,1
6,367758.620000,3713903.840000,0,1
7,366500.710000,3714071.140000,0,1
8,366495.390000,3714055.370000,0,1
9,366480.040000,3714011.930000,0,1
10,366321.480000,3714077.930000,0,1
11,366598.380000,3714041.400000,0,1
12,364920.630000,3714228.000000,0,1
13,364902.300000,3714252.390000,0,1
14,364825.860000,3714248.740000,0,1
15,364681.030000,3714270.440000,0,1
16,364607.290000,3714281.190000,0,1
17,364672.450000,3714199.480000,0,1
18,364731.840000,3714261.850000,0,1
19,364307.710000,3714261.170000,0,1
20,364311.070000,3714245.620000,0,1
21,364322.210000,3714195.570000,0,1
22,364142.480000,3714206.760000,0,1
23,364412.180000,3714268.770000,0,1
24,363934.470000,3714177.890000,0,1
25,363937.590000,3714158.930000,0,1
26,363948.440000,3714106.010000,0,1
27,363762.150000,3714121.770000,0,1
28,364092.110000,3714195.120000,0,1
29,364747.350000,3714260.170000,0,1
30,364737.300000,3714194.000000,0,1
31,364749.840000,3714276.700000,0,1
32,363748.000000,3714135.280000,0,1
33,363759.780000,3714137.950000,0,1
34,363741.320000,3714178.380000,0,1
35,363751.680000,3714119.280000,0,1
36,363739.710000,3714133.370000,0,1
37,364768.130000,3714426.940000,0,1
38,364733.480000,3714279.560000,0,1
39,364086.040000,3714212.940000,0,1
40,364080.280000,3714238.490000,0,1
41,364138.330000,3714223.570000,0,1
42,364725.990000,3714102.230000,0,1
43,364717.970000,3714050.860000,0,1
44,364710.750000,3714104.810000,0,1
45,364780.890000,3714093.920000,0,1
46,364737.880000,3713768.030000,0,1
47,364754.500000,3713767.640000,0,1
48,364802.870000,3713678.360000,0,1
49,364792.530000,3713761.860000,0,1
50,364732.880000,3713832.430000,0,1
51,366707.850000,3713361.080000,0,1
52,366760.140000,3713351.990000,0,1
53,366733.270000,3713398.210000,0,1
54,365842.870000,3713940.720000,0,1
55,365953.160000,3713917.310000,0,1
56,366084.560000,3713843.310000,0,1
57,365937.920000,3713875.270000,0,1
58,365961.060000,3713941.160000,0,1
59,365833.120000,3713942.710000,0,1
60,365839.360000,3714002.230000,0,1
61,365831.370000,3713920.200000,0,1
62,365854.020000,3714157.380000,0,1
63,365864.870000,3714155.880000,0,1
64,365858.710000,3714211.670000,0,1
65,365852.670000,3714139.560000,0,1
66,365748.330000,3714170.300000,0,1
67,366519.030000,3714147.000000,0,1
68,366608.530000,3714056.120000,0,1
69,366324.270000,3714095.630000,0,1
70,366865.600000,3714023.250000,0,1
71,367035.000000,3714015.300000,0,1
72,366817.180000,3714027.990000,0,1
73,365799.350000,3714147.000000,0,1
74,365863.150000,3714138.180000,0,1
75,365848.310000,3714086.680000,0,1
76,364817.360000,3714179.600000,0,1
77,364272.540000,3714428.220000,0,1
78,364430.140000,3714288.090000,0,1
79,367760.010000,3713538.260000,0,1
80,367740.750000,3713541.140000,0,1
81,367739.010000,3713579.720000,0,1
82,367770.310000,3713590.160000,0,1
83,367763.620000,3713590.870000,0,1
84,367762.090000,3713667.710000,0,1
85,367760.110000,3713724.150000,0,1
86,367767.360000,3713724.160000,0,1
87,367759.840000,3713766.290000,0,1
88,367754.940000,3713973.980000,0,1
89,367723.410000,3713972.270000,0,1
90,367367.110000,3713881.100000,0,1
91,366338.550000,3713639.810000,0,1
92,366363.360000,3713684.350000,0,1
93,366387.290000,3713755.320000,0,1
94,366336.360000,3713700.040000,0,1
95,366410.130000,3713658.280000,0,1
96,366607.190000,3713415.560000,0,1
97,366310.960000,3713594.790000,0,1
98,366186.300000,3713676.140000,0,1
99,366367.940000,3713557.800000,0,1
100,365917.300000,3713828.730000,0,1
101,365925.580000,3713843.010000,0,1
102,365832.960000,3713866.130000,0,1
103,366047.760000,3713766.370000,0,1
104,365695.390000,3713903.930000,0,1
105,365721.690000,3713896.070000,0,1
106,365823.400000,3713868.610000,0,1
107,365726.540000,3713939.860000,0,1
108,365310.010000,3714128.580000,0,1
109,365260.860000,3714154.380000,0,1
110,365271.830000,3714205.280000,0,1
111,365246.480000,3714115.390000,0,1
112,365235.860000,3714087.490000,0,1
113,365236.560000,3714036.520000,0,1
114,365122.390000,3714074.920000,1,1
115,364806.340000,3714090.170000,0,1
116,364895.880000,3714074.030000,0,1
117,364812.400000,3714135.560000,0,1
118,364800.760000,3714039.580000,0,1
119,364793.730000,3714182.980000,0,1
120,364908.960000,3714164.220000,0,1
121,365012.230000,3714203.110000,0,1
122,364929.320000,3714069.420000,0,1
123,364886.180000,3714026.110000,0,1
124,364902.520000,3714118.850000,0,1
125,365096.240000,3714093.410000,0,1
126,365096.270000,3714135.400000,0,1
127,365102.010000,3714177.800000,0,1
128,365004.610000,3714147.730000,0,1
129,366505.610000,3713471.480000,0,1
130,366630.030000,3713459.930000,0,1
131,366633.660000,3713466.960000,0,1
132,366653.740000,3713505.970000,0,1
133,366736.030000,3713716.280000,0,1
134,366575.630000,3713564.060000,0,1
135,366720.290000,3713415.960000,0,1
136,366682.560000,3713568.270000,0,1
137,367743.550000,3714432.760000,0,1
138,367710.100000,3714432.420000,0,1
139,367705.500000,3714706.770000,0,1
140,367713.060000,3714365.530000,0,1
141,366804.480000,3714013.070000,0,1
142,366806.900000,3714029.400000,0,1
143,366663.720000,3714033.670000,0,1
144,366815.350000,3714012.120000,0,1
145,366793.180000,3713920.130000,0,1
146,366818.610000,3714097.470000,0,1
147,366659.190000,3714048.810000,0,1
148,365111.990000,3714240.060000,0,1
149,365111.590000,3714225.100000,0,1
150,364990.320000,3714257.390000,0,1
151,365148.900000,3714217.760000,0,1
152,367697.850000,3714847.000000,0,1
153,367719.350000,3714846.180000,0,1
154,367727.850000,3714708.300000,0,1
155,367773.820000,3714844.680000,0,1
156,367707.730000,3714953.690000,0,1
157,367693.630000,3714953.570000,0,1
158,367482.830000,3714857.450000,1,1
159,366987.880000,3714879.890000,0,1
160,367143.780000,3714872.270000,0,1
161,367327.700000,3714864.740000,0,1
162,366404.900000,3714954.250000,0,1
163,366405.520000,3714905.870000,0,1
164,366406.110000,3714849.270000,0,1
165,366228.580000,3714913.500000,0,1
166,366567.150000,3714898.950000,0,1
167,365939.380000,3714931.670000,0,1
168,365929.960000,3714932.230000,0,1
169,365862.350000,3714936.470000,0,1
170,365930.900000,3714995.150000,0,1
171,365905.220000,3714681.280000,0,1
172,365534.590000,3714957.210000,0,1
173,365369.010000,3714968.440000,0,1
174,365211.050000,3714978.510000,0,1
175,365362.870000,3714877.100000,0,1
176,365371.510000,3715022.540000,0,1
177,364951.710000,3714994.410000,0,1
178,364887.480000,3714985.570000,0,1
179,364973.920000,3714994.830000,0,1
180,364830.010000,3715003.210000,0,1
181,364824.790000,3714970.500000,0,1
182,364820.860000,3714923.130000,0,1
183,364841.140000,3714565.050000,0,1
184,364786.520000,3714566.730000,0,1
185,364771.270000,3714565.790000,0,1
186,364780.990000,3714515.170000,0,1
187,364796.460000,3714673.400000,0,1
188,364824.010000,3714417.920000,0,1
189,364753.670000,3714430.140000,0,1
190,367207.210000,3713989.380000,0,1
191,367039.720000,3714027.310000,0,1
192,366943.800000,3713993.070000,0,1
193,366969.810000,3714001.550000,0,1
194,367022.710000,3713965.810000,0,1
195,364936.940000,3714281.330000,0,1
196,364993.760000,3714272.650000,0,1
197,365284.180000,3714268.500000,0,1
198,365274.260000,3714220.090000,0,1
199,365331.480000,3714213.290000,0,1
200,365202.670000,3714226.540000,0,1
201,367732.670000,3713764.180000,0,1
202,367730.940000,3713802.100000,0,1
203,367539.750000,3713752.540000,1,1
204,367733.200000,3713723.000000,0,1
205,367860.610000,3713772.990000,0,1
206,367768.530000,3713667.620000,0,1
207,367743.300000,3714371.290000,0,1
208,367671.720000,3715273.570000,0,1
209,367664.800000,3715404.980000,0,1
210,367690.740000,3715271.370000,0,1
211,367588.230000,3715387.100000,0,1
212,367692.140000,3715019.380000,0,1
213,367702.640000,3715020.040000,0,1
214,367686.260000,3715409.290000,0,1
215,363227.370000,3714045.080000,0,1
216,363089.560000,3714045.230000,0,1
217,363226.360000,3713977.050000,0,1
218,363288.680000,3714044.900000,0,1
219,363088.400000,3714060.440000,0,1
220,362947.850000,3714045.820000,0,1
221,363088.810000,3713971.550000,0,1
222,362303.030000,3714063.680000,0,1
223,362313.210000,3714049.310000,0,1
224,362321.520000,3713981.520000,0,1
225,362194.690000,3714036.800000,0,1
226,362491.190000,3714049.580000,0,1
227,362191.800000,3714048.680000,0,1
228,362188.280000,3714035.050000,0,1
229,362122.450000,3713969.550000,0,1
230,362111.830000,3714016.190000,0,1
231,362017.080000,3713992.650000,0,1
232,360969.920000,3713861.510000,0,1
233,360970.330000,3713851.620000,0,1
234,361013.030000,3713797.620000,0,1
235,361068.720000,3713859.910000,0,1
236,360554.270000,3713882.350000,0,1
237,360556.450000,3713869.910000,0,1
238,360652.960000,3713907.890000,0,1
239,360608.280000,3713601.700000,0,1
240,360620.920000,3713601.760000,0,1
241,360609.770000,3713584.260000,0,1
242,360606.670000,3713617.220000,0,1
243,360591.050000,3713621.770000,0,1
244,360627.840000,3713620.860000,0,1
245,360789.870000,3713620.500000,0,1
246,360796.400000,3713619.720000,0,1
247,361007.440000,3713524.300000,0,1
248,360819.390000,3713647.120000,0,1
