codeLink,weight,sim
0,7,1800
1,0,1800
2,8,1800
3,10,1800
4,2,1800
5,4,1800
6,18,1800
7,16,1800
8,17,1800
9,16,1800
10,2,1800
11,1,1800
12,10,1800
13,3,1800
14,16,1800
15,8,1800
16,8,1800
17,8,1800
18,1,1800
19,1,1800
20,1,1800
21,0,1800
22,0,1800
23,17,1800
24,19,1800
25,17,1800
26,3,1800
27,1,1800
28,1,1800
29,1,1800
30,1,1800
31,1,1800
32,17,1800
33,4,1800
34,6,1800
35,0,1800
36,7,1800
37,13,1800
38,1,1800
39,1,1800
40,17,1800
41,4,1800
42,23,1800
43,7,1800
44,10,1800
45,10,1800
46,1,1800
47,10,1800
48,3,1800
49,5,1800
50,2,1800
51,3,1800
52,1,1800
53,11,1800
54,2,1800
55,11,1800
56,1,1800
57,1,1800
58,22,1800
59,0,1800
60,0,1800
61,15,1800
62,3,1800
63,11,1800
64,8,1800
65,2,1800
66,1,1800
67,9,1800
68,1,1800
69,4,1800
70,4,1800
71,7,1800
72,2,1800
73,4,1800
74,4,1800
75,1,1800
76,5,1800
77,0,1800
78,11,1800
79,10,1800
80,1,1800
81,18,1800
82,1,1800
83,13,1800
84,20,1800
85,1,1800
86,10,1800
87,9,1800
88,1,1800
89,13,1800
90,1,1800
91,2,1800
92,1,1800
93,1,1800
94,9,1800
95,2,1800
96,9,1800
97,4,1800
98,16,1800
99,18,1800
100,17,1800
101,19,1800
102,49,1800
103,12,1800
104,20,1800
105,2,1800
106,3,1800
107,9,1800
108,3,1800
109,5,1800
110,16,1800
111,2,1800
112,2,1800
113,2,1800
114,1,1800
115,2,1800
116,1,1800
117,2,1800
118,13,1800
119,42,1800
120,30,1800
121,42,1800
122,56,1800
123,2,1800
124,0,1800
125,2,1800
126,0,1800
127,0,1800
128,0,1800
129,14,1800
130,9,1800
131,16,1800
132,19,1800
133,10,1800
134,1,1800
135,1,1800
136,1,1800
137,1,1800
138,0,1800
139,2,1800
140,0,1800
141,0,1800
142,0,1800
143,0,1800
144,0,1800
145,0,1800
146,0,1800
147,0,1800
148,0,1800
149,14,1800
150,12,1800
151,1,1800
152,13,1800
153,10,1800
154,42,1800
155,1,1800
156,129,1800
157,4,1800
158,25,1800
159,37,1800
160,23,1800
161,8,1800
162,18,1800
163,1,1800
164,14,1800
165,22,1800
166,12,1800
167,8,1800
168,1,1800
169,2,1800
170,3,1800
171,5,1800
172,1,1800
173,1,1800
174,5,1800
175,17,1800
176,8,1800
177,2,1800
178,1,1800
179,0,1800
180,3,1800
181,5,1800
182,0,1800
183,3,1800
184,9,1800
185,24,1800
186,6,1800
187,5,1800
188,2,1800
189,1,1800
190,0,1800
191,0,1800
192,0,1800
193,0,1800
194,0,1800
195,0,1800
196,0,1800
197,0,1800
198,1,1800
199,1,1800
200,0,1800
201,1,1800
202,1,1800
203,2,1800
204,14,1800
205,3,1800
206,10,1800
207,2,1800
208,13,1800
209,15,1800
210,16,1800
211,15,1800
212,9,1800
213,9,1800
214,6,1800
215,6,1800
216,3,1800
217,4,1800
218,15,1800
219,17,1800
220,17,1800
221,21,1800
222,19,1800
223,11,1800
224,30,1800
225,6,1800
226,20,1800
227,8,1800
228,1,1800
229,2,1800
230,1,1800
231,3,1800
232,13,1800
233,9,1800
234,10,1800
235,15,1800
236,5,1800
237,7,1800
238,7,1800
239,5,1800
240,1,1800
241,0,1800
242,1,1800
243,1,1800
244,0,1800
245,1,1800
246,3,1800
247,7,1800
248,2,1800
249,4,1800
250,52,1800
251,46,1800
252,4,1800
253,5,1800
254,1,1800
255,48,1800
256,23,1800
257,19,1800
258,5,1800
259,13,1800
260,20,1800
261,17,1800
262,14,1800
263,13,1800
264,23,1800
265,10,1800
266,0,1800
267,0,1800
268,22,1800
269,20,1800
270,6,1800
271,16,1800
272,13,1800
273,7,1800
274,21,1800
275,7,1800
276,18,1800
277,2,1800
278,19,1800
279,11,1800
280,19,1800
281,3,1800
282,11,1800
283,12,1800
284,12,1800
285,11,1800
286,0,1800
287,0,1800
288,30,1800
289,45,1800
290,32,1800
291,16,1800
292,1,1800
293,0,1800
294,3,1800
295,2,1800
296,3,1800
297,1,1800
298,5,1800
299,0,1800
300,15,1800
301,11,1800
302,1,1800
303,4,1800
304,30,1800
305,16,1800
306,3,1800
307,19,1800
308,16,1800
309,23,1800
310,25,1800
311,21,1800
312,24,1800
313,0,1800
314,20,1800
315,19,1800
316,11,1800
317,12,1800
318,10,1800
319,13,1800
320,3,1800
321,19,1800
322,16,1800
323,18,1800
324,5,1800
325,2,1800
326,1,1800
327,4,1800
328,43,1800
329,5,1800
330,20,1800
331,1,1800
332,1,1800
333,3,1800
334,0,1800
335,16,1800
336,17,1800
337,16,1800
338,7,1800
339,58,1800
340,107,1800
341,102,1800
342,16,1800
343,33,1800
344,26,1800
345,20,1800
346,31,1800
347,50,1800
348,17,1800
349,30,1800
350,15,1800
351,10,1800
352,22,1800
353,4,1800
354,7,1800
355,11,1800
356,15,1800
357,14,1800
358,2,1800
359,1,1800
360,6,1800
361,44,1800
362,47,1800
363,10,1800
364,12,1800
365,3,1800
366,49,1800
367,8,1800
368,23,1800
369,26,1800
370,15,1800
371,31,1800
372,17,1800
373,2,1800
374,1,1800
375,15,1800
376,17,1800
377,11,1800
378,17,1800
379,44,1800
380,16,1800
381,29,1800
382,37,1800
383,20,1800
384,24,1800
385,22,1800
386,1,1800
387,15,1800
388,14,1800
389,1,1800
390,17,1800
391,54,1800
392,3,1800
393,30,1800
394,18,1800
395,11,1800
396,4,1800
397,16,1800
398,7,1800
399,7,1800
400,5,1800
401,17,1800
402,29,1800
403,27,1800
404,17,1800
405,11,1800
406,17,1800
407,0,1800
408,6,1800
409,14,1800
410,27,1800
411,1,1800
412,7,1800
413,23,1800
414,6,1800
415,19,1800
416,1,1800
417,16,1800
418,16,1800
419,6,1800
420,7,1800
421,16,1800
422,12,1800
423,17,1800
424,7,1800
425,8,1800
426,7,1800
427,9,1800
428,9,1800
429,9,1800
430,7,1800
431,14,1800
432,2,1800
433,16,1800
434,2,1800
435,2,1800
436,17,1800
437,13,1800
438,5,1800
439,4,1800
440,18,1800
441,4,1800
442,9,1800
443,7,1800
444,12,1800
445,3,1800
446,1,1800
447,3,1800
448,3,1800
449,19,1800
450,10,1800
451,10,1800
452,2,1800
453,3,1800
454,1,1800
455,12,1800
456,14,1800
457,2,1800
458,1,1800
459,2,1800
460,4,1800
461,5,1800
462,0,1800
463,13,1800
464,0,1800
465,2,1800
466,3,1800
467,2,1800
468,2,1800
469,2,1800
470,1,1800
471,1,1800
472,2,1800
473,3,1800
474,5,1800
475,0,1800
476,5,1800
477,2,1800
478,4,1800
479,3,1800
480,2,1800
481,1,1800
482,2,1800
483,2,1800
484,2,1800
485,0,1800
486,4,1800
487,0,1800
488,2,1800
489,1,1800
490,2,1800
491,1,1800
492,12,1800
493,21,1800
494,26,1800
495,21,1800
496,5,1800
497,1,1800
498,3,1800
499,2,1800
500,14,1800
501,4,1800
502,30,1800
503,1,1800
504,3,1800
505,2,1800
506,3,1800
507,1,1800
508,1,1800
509,1,1800
510,13,1800
511,12,1800
512,1,1800
513,9,1800
514,4,1800
515,1,1800
516,6,1800
517,3,1800
518,2,1800
519,19,1800
520,22,1800
521,15,1800
522,0,1800
523,8,1800
524,11,1800
525,2,1800
526,2,1800
527,1,1800
528,5,1800
529,5,1800
530,1,1800
531,3,1800
532,4,1800
533,1,1800
534,1,1800
535,1,1800
536,0,1800
537,16,1800
538,5,1800
539,65,1800
540,23,1800
541,17,1800
542,1,1800
543,17,1800
544,4,1800
545,3,1800
546,1,1800
547,4,1800
548,5,1800
549,2,1800
550,2,1800
551,0,1800
552,2,1800
553,7,1800
554,22,1800
555,10,1800
556,13,1800
557,1,1800
558,0,1800
559,2,1800
560,4,1800
561,1,1800
562,18,1800
563,2,1800
564,11,1800
565,8,1800
566,1,1800
567,24,1800
568,2,1800
569,1,1800
570,1,1800
571,15,1800
572,1,1800
573,1,1800
574,4,1800
575,0,1800
576,16,1800
577,33,1800
578,1,1800
579,4,1800
580,3,1800
581,0,1800
582,10,1800
583,0,1800
584,6,1800
585,20,1800
586,0,1800
587,2,1800
588,1,1800
589,0,1800
590,3,1800
591,9,1800
592,1,1800
593,11,1800
594,14,1800
595,5,1800
596,13,1800
597,11,1800
598,11,1800
599,1,1800
600,2,1800
601,2,1800
602,5,1800
603,16,1800
604,27,1800
605,23,1800
606,8,1800
607,10,1800
608,1,1800
609,1,1800
610,52,1800
611,25,1800
612,2,1800
613,8,1800
614,11,1800
615,1,1800
616,3,1800
617,14,1800
618,10,1800
619,10,1800
620,2,1800
621,2,1800
622,2,1800
623,5,1800
624,3,1800
625,4,1800
626,19,1800
627,4,1800
628,1,1800
629,6,1800
630,3,1800
631,1,1800
632,4,1800
633,3,1800
634,6,1800
635,6,1800
636,12,1800
637,1,1800
638,7,1800
639,22,1800
640,3,1800
641,1,1800
642,18,1800
643,14,1800
644,16,1800
645,16,1800
646,2,1800
647,2,1800
648,4,1800
649,3,1800
650,15,1800
651,25,1800
652,44,1800
653,2,1800
654,1,1800
655,31,1800
656,4,1800
657,2,1800
658,9,1800
659,2,1800
660,3,1800
661,5,1800
662,0,1800
663,2,1800
664,2,1800
665,2,1800
666,3,1800
667,4,1800
668,10,1800
669,12,1800
670,24,1800
671,29,1800
672,33,1800
673,15,1800
674,1,1800
675,25,1800
676,21,1800
677,1,1800
678,0,1800
679,20,1800
680,45,1800
681,12,1800
682,31,1800
683,3,1800
684,0,1800
685,0,1800
686,27,1800
687,26,1800
688,16,1800
689,18,1800
690,3,1800
691,8,1800
692,4,1800
693,9,1800
694,12,1800
695,30,1800
696,21,1800
697,24,1800
698,4,1800
699,12,1800
700,4,1800
701,5,1800
702,2,1800
703,2,1800
704,2,1800
705,1,1800
706,3,1800
707,1,1800
708,4,1800
709,3,1800
710,17,1800
711,27,1800
712,2,1800
713,1,1800
714,1,1800
715,6,1800
716,7,1800
717,27,1800
718,30,1800
719,18,1800
720,16,1800
721,20,1800
722,3,1800
723,0,1800
724,0,1800
725,1,1800
726,6,1800
727,2,1800
728,12,1800
729,3,1800
730,2,1800
731,3,1800
732,1,1800
733,6,1800
734,13,1800
735,14,1800
736,2,1800
737,3,1800
738,0,1800
739,8,1800
740,2,1800
741,1,1800
742,11,1800
743,5,1800
744,3,1800
745,2,1800
746,6,1800
747,4,1800
748,2,1800
749,2,1800
750,2,1800
751,6,1800
752,8,1800
753,344,1800
754,12,1800
755,2,1800
756,2,1800
757,1,1800
758,2,1800
759,3,1800
760,5,1800
761,0,1800
762,2,1800
763,1,1800
764,14,1800
765,13,1800
766,6,1800
767,3,1800
768,8,1800
769,1,1800
770,2,1800
771,1,1800
772,1,1800
773,2,1800
774,3,1800
775,2,1800
776,5,1800
777,0,1800
778,2,1800
779,1,1800
780,3,1800
781,2,1800
782,8,1800
783,4,1800
784,2,1800
785,2,1800
786,2,1800
787,1,1800
788,2,1800
789,14,1800
790,16,1800
791,5,1800
792,0,1800
793,2,1800
794,0,1800
795,19,1800
796,25,1800
797,1,1800
798,1,1800
799,3,1800
800,1,1800
801,1,1800
802,0,1800
803,3,1800
804,19,1800
805,19,1800
806,0,1800
807,19,1800
808,1,1800
809,9,1800
810,0,1800
811,6,1800
812,4,1800
813,4,1800
814,4,1800
815,5,1800
816,8,1800
817,1,1800
818,3,1800
819,7,1800
820,2,1800
821,8,1800
822,3,1800
823,2,1800
824,1,1800
825,4,1800
826,3,1800
827,1,1800
828,1,1800
829,1,1800
830,7,1800
831,5,1800
832,9,1800
833,2,1800
834,1,1800
835,54,1800
836,17,1800
837,14,1800
838,12,1800
839,17,1800
840,14,1800
841,6,1800
842,6,1800
843,12,1800
844,16,1800
845,7,1800
846,2,1800
847,3,1800
848,1,1800
849,1,1800
850,1,1800
851,2,1800
852,1,1800
853,9,1800
854,1,1800
855,4,1800
856,8,1800
857,51,1800
858,39,1800
859,3,1800
860,18,1800
861,6,1800
862,9,1800
863,24,1800
864,10,1800
865,1,1800
866,1,1800
867,1,1800
868,2,1800
869,14,1800
870,13,1800
871,1,1800
872,8,1800
873,2,1800
874,2,1800
875,25,1800
876,1,1800
877,1,1800
878,4,1800
879,25,1800
880,26,1800
881,2,1800
882,1,1800
883,2,1800
884,1,1800
885,2,1800
886,1,1800
887,3,1800
888,13,1800
889,22,1800
890,2,1800
891,1,1800
892,44,1800
893,22,1800
894,18,1800
895,6,1800
896,22,1800
897,19,1800
898,0,1800
899,2,1800
900,4,1800
901,3,1800
902,11,1800
903,7,1800
904,9,1800
905,7,1800
906,8,1800
907,41,1800
908,44,1800
909,1,1800
910,2,1800
911,10,1800
912,4,1800
913,7,1800
914,1,1800
915,33,1800
916,36,1800
917,2,1800
918,3,1800
919,1,1800
920,12,1800
921,13,1800
922,2,1800
923,2,1800
924,1,1800
925,1,1800
926,15,1800
927,1,1800
928,3,1800
929,3,1800
930,5,1800
931,47,1800
932,26,1800
933,30,1800
934,3,1800
935,0,1800
936,2,1800
937,5,1800
938,5,1800
939,10,1800
940,32,1800
941,5,1800
942,33,1800
943,28,1800
944,53,1800
945,18,1800
946,19,1800
947,7,1800
948,5,1800
949,1,1800
950,0,1800
951,25,1800
952,4,1800
953,18,1800
954,17,1800
955,2,1800
956,4,1800
957,2,1800
958,4,1800
959,21,1800
960,14,1800
961,9,1800
962,1,1800
963,0,1800
964,1,1800
965,2,1800
966,0,1800
967,20,1800
968,8,1800
969,2,1800
970,31,1800
971,2,1800
972,57,1800
973,51,1800
974,34,1800
975,35,1800
976,3,1800
977,8,1800
978,17,1800
979,6,1800
980,26,1800
981,3,1800
982,5,1800
983,3,1800
984,5,1800
985,19,1800
986,30,1800
987,1,1800
988,3,1800
989,1,1800
990,9,1800
991,2,1800
992,6,1800
993,48,1800
994,1,1800
995,2,1800
996,2,1800
997,2,1800
998,40,1800
999,6,1800
1000,2,1800
1001,31,1800
1002,1,1800
1003,3,1800
1004,18,1800
1005,24,1800
1006,0,1800
1007,8,1800
1008,4,1800
1009,3,1800
1010,2,1800
1011,3,1800
1012,1,1800
1013,1,1800
1014,2,1800
1015,2,1800
1016,5,1800
1017,2,1800
1018,1,1800
1019,2,1800
1020,3,1800
1021,2,1800
1022,8,1800
1023,2,1800
1024,3,1800
1025,3,1800
1026,3,1800
1027,4,1800
1028,2,1800
1029,10,1800
1030,1,1800
1031,2,1800
1032,2,1800
1033,3,1800
1034,3,1800
1035,3,1800
1036,16,1800
1037,19,1800
1038,1,1800
1039,5,1800
1040,2,1800
1041,4,1800
1042,16,1800
1043,4,1800
1044,12,1800
1045,4,1800
1046,5,1800
1047,1,1800
1048,2,1800
1049,3,1800
1050,2,1800
1051,5,1800
1052,14,1800
1053,7,1800
1054,19,1800
1055,7,1800
1056,21,1800
1057,20,1800
1058,5,1800
1059,2,1800
1060,1,1800
1061,2,1800
1062,17,1800
1063,20,1800
1064,28,1800
1065,28,1800
1066,3,1800
1067,1,1800
1068,14,1800
1069,54,1800
1070,1,1800
1071,2,1800
1072,37,1800
1073,6,1800
1074,27,1800
1075,3,1800
1076,8,1800
1077,0,1800
1078,4,1800
1079,2,1800
1080,7,1800
1081,4,1800
1082,3,1800
1083,4,1800
1084,3,1800
1085,24,1800
1086,47,1800
1087,29,1800
1088,5,1800
1089,3,1800
1090,20,1800
1091,1,1800
1092,12,1800
1093,12,1800
1094,43,1800
1095,28,1800
1096,21,1800
1097,17,1800
1098,21,1800
1099,7,1800
1100,3,1800
1101,7,1800
1102,19,1800
1103,5,1800
1104,6,1800
1105,2,1800
1106,5,1800
1107,34,1800
1108,6,1800
1109,2,1800
1110,1,1800
1111,1,1800
1112,6,1800
1113,4,1800
1114,12,1800
1115,1,1800
1116,1,1800
1117,0,1800
1118,1,1800
1119,3,1800
1120,5,1800
1121,1,1800
1122,2,1800
1123,25,1800
1124,1,1800
1125,3,1800
1126,0,1800
1127,10,1800
1128,13,1800
1129,10,1800
1130,48,1800
1131,1,1800
1132,0,1800
1133,1,1800
1134,7,1800
1135,2,1800
1136,8,1800
1137,8,1800
1138,2,1800
1139,7,1800
1140,1,1800
1141,0,1800
1142,28,1800
1143,21,1800
1144,8,1800
1145,31,1800
1146,16,1800
1147,7,1800
1148,14,1800
1149,13,1800
1150,19,1800
1151,20,1800
1152,18,1800
1153,24,1800
1154,12,1800
1155,23,1800
1156,25,1800
1157,2,1800
1158,13,1800
1159,3,1800
1160,13,1800
1161,8,1800
1162,11,1800
1163,61,1800
1164,28,1800
1165,3,1800
1166,3,1800
1167,17,1800
1168,2,1800
1169,16,1800
1170,2,1800
1171,3,1800
1172,5,1800
1173,2,1800
1174,1,1800
1175,20,1800
1176,17,1800
1177,2,1800
1178,1,1800
1179,27,1800
1180,17,1800
1181,2,1800
1182,13,1800
1183,19,1800
1184,3,1800
1185,8,1800
1186,37,1800
1187,25,1800
1188,45,1800
1189,1,1800
1190,28,1800
1191,6,1800
1192,3,1800
1193,53,1800
1194,46,1800
1195,13,1800
1196,7,1800
1197,2,1800
1198,3,1800
1199,14,1800
1200,4,1800
1201,5,1800
1202,2,1800
1203,2,1800
1204,2,1800
1205,5,1800
1206,3,1800
